series66661,The sound of magic,"A magician living in an abandoned theme park makes troubles disappear, and hope reappear, for a disenchanted teen enduring harsh relaties.",Kim Sung-youn and Kim Min-jeong,https://static.wikia.nocookie.net/drama/images/a/a0/The_Sound_of_Magic-Netflix-2022-03.jpg/revision/latest?cb=20220411103510&path-prefix=es,https://www.youtube.com/watch?v=8N5KSMy62ps
series66662,Stranger things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces an one strange little girl",The Duffer Brothers,https://cloudfront-us-east-1.images.arcpublishing.com/eluniverso/RVRHUGP4O5C4LDRFRKZ5KG4PXM.jpg,https://www.youtube.com/watch?v=b9EkMc79ZSU
series66663,Komi cant communicate,"At a high school full of unique characters, Tadano helps his shy and unsociable classmate Komi reach her goal of making firends with 100 people",No shown,https://elpalomitron.com/wp-content/uploads/2021/05/Fecha-de-estreno-y-trailer-del-anime-Komi-Cant-Communicate-destacada-El-Palomitron.jpg,https://www.youtube.com/watch?v=tLdLTSnmnoA
